ID;alim_grp_code;alim_ssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_code;alim_nom_eng;Water (g/100g);Protein (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);glucose (g/100g);lactose (g/100g);has_lactose;has_seafood;has_egg
1;1;101;starters and dishes;mixed salads;25601;Prepared mixed tuna and vegetable salad, canned;76.5;9.15;7.74;4.7;3.08;0.78;0;0;0;0
2;1;101;starters and dishes;mixed salads;25602;Prepared mixed meat/fish canned, salad;76.7;8.06;6.4;5.3;1.9;0.6;0.2;0;0;0
3;1;101;starters and dishes;mixed salads;25605;Greek-style marinated mushrooms, ;85.2;2.08;3.95;3.55;2.38;1;0.3;0;0;0
4;1;101;starters and dishes;mixed salads;25606;Prepared potatoes salad, home-made;76;2.68;9.9;8.2;0;0;0;0;0;0
5;1;101;starters and dishes;mixed salads;25608;Tabbouleh, ;60.3;4.88;23.7;6.7;4.9;1.5;0.2;0;0;0
6;1;101;starters and dishes;mixed salads;25609;Potato salad, piémontaise-style, ;75.8;4.5;8.87;8.3;1.2;0.7;0.2;0;0;0
7;1;101;starters and dishes;mixed salads;25614;Prepared rice salad, canned;72.5;5.13;16.1;4.35;1;0;0;0;0;0
8;1;101;starters and dishes;mixed salads;25615;Prepared pasta salad, vegetarian;72.6;5.7;13.7;8.1;2.3;0.6;0;0;0;0
9;1;101;starters and dishes;mixed salads;25616;Salad, vegetable, without dressing (average);93.2;0.94;3.07;0.7;2.27;1.02;0.085;0;0;0
10;1;101;starters and dishes;mixed salads;25619;Prepared pasta salad, with vegetable, meat or fish, ;70.5;5.19;14;9.94;2.16;0.86;0;0;0;0
11;1;101;starters and dishes;mixed salads;25626;Mixed diced vegetables salad, w sauce, ;78.3;2.81;7;9.3;2.3;0.3;0.3;0;0;0
12;1;101;starters and dishes;mixed salads;25628;Caesar's salad (salad, chicken, croûtons, sauce), ;71.8;8.13;4.88;10;1.71;0.51;0.2;0;0;0
13;1;101;starters and dishes;mixed salads;25629;Salad, veggie, bulgur and/or quinoa-based, with vegetables, ;65.5;3.79;17.4;8.3;4.61;1.9;0.1;0;0;0
